WABT_TYPE, BITSIZE, HARDCODED_TREE, DIRECT_CALL, ALIAS_VP8PARSEINTRAMODE, native_unchanged,nativesimd_unchanged,native,nativesimd,wasm,wasmsimd,native_unchanged_errorbar,nativesimd_unchanged_errorbar,native_errorbar,nativesimd_errorbar,wasm_errorbar,wasmsimd_errorbar
no_force_read, true, false, true, false, 0.5477,0.4043,0.5673,0.404,0.638,0.4439,0.000315905477826919,0.0002240263174742043,0.0009447659440027294,0.00012400440569422942,0.0003104422473623195,0.0002012474972057495
no_force_read, true, false, true, true, 0.5475,0.4035,0.5684,0.4045,0.6324,0.4416,0.0002500866089451462,0.0012507290126793638,0.00038413939424449445,0.0003206352444757129,0.0012019874337617052,0.00025784420428664144
no_force_read, true, true, false, false, 0.5465,0.4046,0.5683,0.4041,0.6629,0.466,0.0010596259255535724,0.00035751892754458734,0.0003246913990318544,0.00013512754988100046,0.0008446747832590275,0.0013212024369768942
no_force_read, true, true, false, true, 0.5476,0.4044,0.5674,0.4048,0.6541,0.4625,0.00019802539842417538,0.00023999791775412355,0.0011128797225406302,0.0004415560182319363,0.0013084266431079507,0.0008478593958502665
no_force_read, true, true, true, false, 0.5475,0.4047,0.5679,0.4048,0.6307,0.4399,0.00026234242990091504,0.0003562151397533158,0.00014560109528217324,0.0010177247751208267,0.00028315007435150794,0.0003310038845375506
no_force_read, true, true, true, true, 0.5474,0.4042,0.5683,0.4038,0.625,0.4311,0.00019782491461417653,0.00011561222390296555,0.0010372954846619169,0.00013481758631182797,0.000329360155413016,0.0003199393929036876
segue, false, false, false, false, 0.5475,0.4042,0.5682,0.4039,0.6612,0.4799,0.00020176912809602483,0.0008232753040847207,0.00027329756772850774,0.00016088927011097287,0.00010917906826571133,0.0005300559001056805
segue, false, false, false, true, 0.5481,0.4043,0.5681,0.404,0.658,0.4801,0.00015259247239487068,0.00016555734258621687,0.00036210184740586193,0.00016162600591944755,0.00010930139102018367,0.0006189938351023669
segue, false, false, true, false, 0.5474,0.4043,0.5682,0.4046,0.6403,0.4571,0.00011367363254881025,0.0002265061332967656,0.00034143900665149204,0.0004804777034916715,0.0012741988489676668,0.000133267965116589
segue, false, false, true, true, 0.5467,0.4041,0.5675,0.4038,0.6307,0.4516,0.0009181737970444106,0.00013932417517959302,0.0012775668574018276,0.00014229423556027824,0.00021406832898325585,0.0001260850689227836
segue, false, true, false, false, 0.5468,0.4032,0.568,0.4038,0.6456,0.4656,0.001201066864511011,0.001157451079959752,0.000245224493013409,9.252286986128622e-05,0.00013214985712001876,0.00031623830621192836
segue, false, true, false, true, 0.5468,0.4044,0.5678,0.404,0.6399,0.4594,0.001107733282784925,0.0001848748691327239,0.00016471465598038578,0.00021119334618705283,0.0002493382597259365,0.0012085875703198275
segue, false, true, true, false, 0.5473,0.4043,0.5677,0.4048,0.6161,0.4348,0.00011353149980233775,0.00026845664552459025,0.00010247748083821754,0.0005139140958319164,0.0010278249064356612,7.805434931743667e-05
segue, false, true, true, true, 0.5471,0.4042,0.5682,0.4039,0.6139,0.4366,5.504363221453136e-05,0.00014087814630120448,0.0002397796825926074,0.001223616083796841,0.00012281854983760024,0.0002139860165131315
segue, true, false, false, false, 0.5464,0.4041,0.5672,0.404,0.6584,0.4744,0.0010405472479092807,0.00011678048458088783,0.0007978185503873105,0.0001655437209701151,0.00015096959610255272,0.000219891574657291
segue, true, false, false, true, 0.5474,0.4037,0.5684,0.404,0.6563,0.4746,0.00025409567069988064,0.0010749834603378781,0.000389557024235963,0.00016304761776209643,0.0004988124982606746,0.00014792920604126875
segue, true, false, true, false, 0.547,0.4041,0.5675,0.404,0.6243,0.4537,0.0011277537772516064,0.00016313527281627883,0.0012285680065468624,0.0002583744352984426,0.0008257011435265531,0.0011512071761850694
segue, true, false, true, true, 0.5469,0.405,0.5681,0.4046,0.62,0.4401,0.0012228759098620967,0.0007461188370141626,0.0004260104650308342,0.00046702339215053265,0.0012400829989200437,0.00010823074764983496
segue, true, true, false, false, 0.5473,0.4043,0.568,0.4047,0.646,0.4628,0.0003390895431732924,0.0001309507395328901,0.000151465759114762,0.0008404385893686696,0.0001457793772867261,0.0005226080712964633
segue, true, true, false, true, 0.5477,0.4041,0.5683,0.4044,0.6432,0.4616,0.0002877319794073705,0.00015498815065063905,0.0012789331089767153,0.0002577955072390368,0.0003098537963807756,0.0009295269224039092
segue, true, true, true, false, 0.5347,0.4052,0.5684,0.4046,0.6192,0.4285,0.009090328984406275,9.090791972331681e-05,0.001418561779817114,0.0004698325653609848,0.0010738175771272194,0.00017055000964372234
segue, true, true, true, true, 0.5469,0.4041,0.5681,0.404,0.6071,0.4364,0.0010902992478528158,0.00021265304426892589,0.00023809906689841034,0.0001722830668741981,0.00028032040502554254,0.0011156371520936277
upstream, false, false, false, false, 0.5469,0.4046,0.5682,0.4036,0.6448,0.4698,0.000895657430106658,0.0002699737462869494,0.0003213452357299159,0.001204413254124401,0.0004497552193898604,0.00017991519786013786
upstream, false, false, false, true, 0.5477,0.404,0.5682,0.4051,0.7132,0.505,0.0003241051973470452,0.00013978979331764305,0.0010744420899263328,0.0004614768369621942,0.0012667882024507584,0.00021145960296049406
upstream, false, false, true, false, 0.5462,0.4041,0.5684,0.4039,0.6739,0.4646,0.0011075502759171723,0.00015974841198452844,0.0011978251244717628,0.00011014137983806035,0.0001771122521691259,0.00035864887168077675
upstream, false, false, true, true, 0.5473,0.404,0.5682,0.4046,0.6538,0.4736,0.00015112888365128484,0.00103075186782577,0.00034678500923710333,0.0004699109551707354,0.001208435406457021,0.00020765859221581122
upstream, false, true, false, false, 0.5473,0.4039,0.5679,0.4035,0.7044,0.4952,0.0002569904421732852,5.7445860095443505e-05,0.0012692156767385686,0.0011514565496178728,0.000495748999919369,0.0003930699020463639
upstream, false, true, false, true, 0.5476,0.4044,0.5681,0.4039,0.7033,0.4905,0.0002646586806376106,0.00028860005357077186,0.0012911127768324487,0.00016408255945038523,0.0012746610044181222,0.00016439814435820373
upstream, false, true, true, false, 0.5476,0.4042,0.5687,0.404,0.6469,0.4669,0.0003498699803611272,0.00014332367858140276,0.0004230972290894382,0.00014418386060129784,0.00020541606045958803,0.0007086978061167791
upstream, false, true, true, true, 0.5479,0.4044,0.5682,0.4038,0.6571,0.4447,0.0003163303952315833,0.00023797171326817108,0.00029191349746114946,0.00011727390341014753,0.0014663011176982562,0.00024152313717214365
upstream, true, false, false, false, 0.5472,0.4045,0.5687,0.4041,0.7025,0.4991,0.00010156016883964652,0.00022288516367001721,0.0004465328030621343,0.00018574418564251246,0.0008836268659844356,0.00029733699005992504
upstream, true, false, false, true, 0.5477,0.4043,0.5676,0.4041,0.6932,0.4934,0.00029959142440822144,0.00023189356990472654,0.00104618265355781,0.00010994707099806226,0.0004326693369440194,0.0010619600507898977
upstream, true, false, true, false, 0.5474,0.4041,0.5678,0.404,0.6566,0.4545,0.00018796604676601055,0.0007357393319683696,0.00012760094610686962,0.0001980416675986741,0.0003116099620054725,0.00032586983900582684
upstream, true, false, true, true, 0.5469,0.4042,0.5681,0.4038,0.6503,0.4572,0.0010899049183541762,0.00017065116928678602,0.00020538060784540464,7.130990556422803e-05,0.00029667590947557025,0.001009065619377911
upstream, true, true, false, false, 0.5473,0.4044,0.5681,0.4043,0.6884,0.487,0.0001349599940723171,0.0002307484344475604,0.00016907380045412158,0.00028490699567439734,0.0011205347977757407,0.0006341054589154033
upstream, true, true, false, true, 0.5474,0.4043,0.5686,0.404,0.6835,0.483,0.00018606298311112584,0.00017942184158246146,0.0003671216525392584,0.00011459538890328335,0.0002310202759385811,0.0004980328665702802
upstream, true, true, true, false, 0.5475,0.4033,0.5678,0.4042,0.6439,0.4439,0.0002726373963131625,0.0011394666353282635,0.00012186255199587339,0.0002839820472457617,0.0014662316101956186,0.0005768384084591494
upstream, true, true, true, true, 0.5465,0.4047,0.5713,0.4043,0.6408,0.4437,0.001080141505105989,0.0003024018796934079,0.000383997303136089,0.000299853115576698,0.00012118840215049295,0.0011671424313816972
